id,dataset,domain,subject,grade,task_type,quality_status,review_label,answer,options_parsed,stem_token_count,stem_seen_token_count,stem_unique_token_count,stem_seen_unique_token_count,stem_coverage,stem_unique_coverage,stem_top_unseen,stem_preview,options_all_token_count,options_all_seen_token_count,options_all_unique_token_count,options_all_seen_unique_token_count,options_all_coverage,options_all_unique_coverage,options_all_top_unseen,options_all_preview,gold_option_token_count,gold_option_seen_token_count,gold_option_unique_token_count,gold_option_seen_unique_token_count,gold_option_coverage,gold_option_unique_coverage,gold_option_top_unseen,gold_option_preview,bangla_correct_models,banglish_correct_models,english_correct_models,banglish_fragility_events,strict_bangla_english_fragility_events,banglish_preview
benqa_12th-Biology-II_0247,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,14,2,13,2,0.1429,0.1538,bodhir; ddee; dwara; kros; muk; rightarrow; sombhabona; sontan; times; uddipoke; ullikhit,P \rightarrow DdEe \times ddEE uddipoke ullikhit kros dwara muk o bodhir sontan hobar sombhabona...,0,0,0,0,0.0,0.0,,25% 50% 75% 100%,0,0,0,0,0.0,0.0,,50%,2,2,0,1,0,P \rightarrow DdEe \times ddEE uddipoke ullikhit kros dwara muk o bodhir sontan hobar sombhabona koto? A. 25% B. 50% C. 75% D....
benqa_12th-Biology-I_0039,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,4,0,4,0,0.0,0.0,hochchhe; ongsh; ontohstiliy; udbhider,udbhider ontohstiliy ongsh hochchhe-,4,0,4,0,0.0,0.0,epidarmis; haipodarmis; karteks; mojjaroshmi,haipodarmis epidarmis mojjaroshmi karteks,1,0,1,0,0.0,0.0,mojjaroshmi,mojjaroshmi,1,0,0,1,0,"udbhider ontohstiliy ongsh hochchhe- A. haipodarmis B. epidarmis C. mojjaroshmi D. karteks Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0235,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,4,1,4,1,0.25,0.25,esid; konti; luis,nicher konti luis esid?,4,3,4,3,0.75,0.75,alcl,AlCl_{3} H_{2}CO_{3} NH_{3} H_{3}PO_{4},1,0,1,0,0.0,0.0,alcl,AlCl_{3},2,1,3,2,2,"nicher konti luis esid? A. AlCl_{3} B. H_{2}CO_{3} C. NH_{3} D. H_{3}PO_{4} Answer with only A, B, C, or D."
benqa_8th-Science_0024,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,8,2,8,2,0.25,0.25,bornomala; ingreji; konodhare; kromojomogulo; maitosiser; mot,maitosiser konodhare kromojomogulo ingreji bornomala J er mot hoy?,4,0,4,0,0.0,0.0,enafej; metafej; profej; telofej,profej metafej enafej telofej,1,0,1,0,0.0,0.0,enafej,enafej,1,0,0,1,0,maitosiser konodhare kromojomogulo ingreji bornomala J er mot hoy? A. profej B. metafej C. enafej D. telofej Answer with only A...
benqa_12th-Biology-II_0179,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,8,2,8,2,0.25,0.25,ayon; bandhote; dhatob; jomat; rokt; sohayota,rokt jomat bandhote kon dhatob ayon sohayota kore?,4,0,4,0,0.0,0.0,ca; cu; fe; mg,Ca^{++} Mg^{++} Cu^{++} Fe^{++},1,0,1,0,0.0,0.0,ca,Ca^{++},2,0,3,3,2,"rokt jomat bandhote kon dhatob ayon sohayota kore? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D."
benqa_12th-Biology-I_0277,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,5,2,5,2,0.4,0.4,ghas; gotr; konotike,konotike ghas gotr bola hoy?,4,0,4,0,0.0,0.0,malobhesi; poyesi; saikyadesi; solanesi,solanesi saikyadesi malobhesi poyesi,1,0,1,0,0.0,0.0,poyesi,poyesi,1,1,3,2,0,"konotike ghas gotr bola hoy? A. solanesi B. saikyadesi C. malobhesi D. poyesi Answer with only A, B, C, or D."
benqa_10th-Chemistry_0194,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,5,2,5,2,0.4,0.4,mouloti; odhik; sokriy,nicher kon mouloti odhik sokriy?,0,0,0,0,0.0,0.0,,O P N F,0,0,0,0,0.0,0.0,,F,1,1,3,2,0,"nicher kon mouloti odhik sokriy? A. O B. P C. N D. F Answer with only A, B, C, or D."
benqa_12th-Physics-I_0157,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,15,6,15,6,0.4,0.4,beg; bhor; briddhi; briddhir; gotishoktir; jothakrome; kotogun; tinogun; ubhoyoke,bhor ebong beg ubhoyoke briddhi kore jothakrome tinogun kora hole gotishoktir briddhir poriman ko...,0,0,0,0,0.0,0.0,,27 21 18 8,0,0,0,0,0.0,0.0,,27,2,0,0,2,0,bhor ebong beg ubhoyoke briddhi kore jothakrome tinogun kora hole gotishoktir briddhir poriman kotogun hobe? A. 27 B. 21 C. 18...
benqa_12th-Biology-I_0056,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,4,1,4,1,0.25,0.25,haidothod; konotite; thakote,konotite haidothod thakote pare?,4,1,4,1,0.25,0.25,kand; mul; pata,pata ful mul kand,1,0,1,0,0.0,0.0,pata,pata,1,0,1,1,1,"konotite haidothod thakote pare? A. pata B. ful C. mul D. kand Answer with only A, B, C, or D."
benqa_10th-Math-II_0102,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,8,5,8,5,0.625,0.625,bindu; somorekh; tinoti,"M(1, - 1), N(2, 2) ebong R(4, a) bindu tinoti somorekh hole, a er man koto?",0,0,0,0,0.0,0.0,,2 4 6 8,0,0,0,0,0.0,0.0,,8,1,1,1,0,0,"M(1, - 1), N(2, 2) ebong R(4, a) bindu tinoti somorekh hole, a er man koto? A. 2 B. 4 C. 6 D. 8 Answer with only A, B, C, or D."
benqa_10th-Math_0044,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,6,2,6,2,0.3333,0.3333,borger; kototi; protisamy; rekha,ekti borger kototi protisamy rekha ache?,4,4,1,1,1.0,1.0,,8ti 6ti 4ti 2ti,1,1,1,1,1.0,1.0,,4ti,3,0,3,3,3,"ekti borger kototi protisamy rekha ache? A. 8ti B. 6ti C. 4ti D. 2ti Answer with only A, B, C, or D."
